Entity,Code,Year,Land spared due to crop yield increases,Actual cropland area today
All crops,,1961,0,825853600
All crops,,1962,38679550,837979300
All crops,,1963,41492670,846640600
All crops,,1964,75600640,860030460
All crops,,1965,81142270,852340200
All crops,,1966,137472770,852742660
All crops,,1967,163540540,863473540
All crops,,1968,194418050,866195140
All crops,,1969,200191170,866745500
All crops,,1970,232056580,861035400
All crops,,1971,296654200,871541000
All crops,,1972,271782270,862276200
All crops,,1973,333633660,887034240
All crops,,1974,306068670,891463740
All crops,,1975,317884670,901740000
All crops,,1976,392817660,913027840
All crops,,1977,390234050,910562750
All crops,,1978,494575600,908681500
All crops,,1979,468740740,898121860
All crops,,1980,461539840,908537700
All crops,,1981,517052930,920866300
All crops,,1982,583646700,912870000
All crops,,1983,549165100,903082050
All crops,,1984,663135740,917720060
All crops,,1985,679057660,927796860
All crops,,1986,695337900,929201340
All crops,,1987,674677900,911008900
All crops,,1988,637503040,918118460
All crops,,1989,737571650,930496060
All crops,,1990,808045900,926727100
All crops,,1991,757572160,930108100
All crops,,1992,813994200,933473600
All crops,,1993,786859700,920415170
All crops,,1994,831820100,926846140
All crops,,1995,790502300,919109000
All crops,,1996,903917630,935745500
All crops,,1997,939878500,939787650
All crops,,1998,949992960,922386200
All crops,,1999,969545600,915739140
All crops,,2000,960246300,918043650
All crops,,2001,992399940,921958340
All crops,,2002,971772350,916827100
All crops,,2003,981452500,930164300
All crops,,2004,1140362600,935650200
All crops,,2005,1112830500,955271000
All crops,,2006,1121147100,947121340
All crops,,2007,1179338800,967965440
All crops,,2008,1305897500,983032800
All crops,,2009,1302020600,969844540
All crops,,2010,1292702700,979129150
All crops,,2011,1377533700,999364100
All crops,,2012,1362630700,1004522700
All crops,,2013,1510875900,1024642050
All crops,,2014,1551970800,1030430700
All crops,,2015,1568777200,1032327500
All crops,,2016,1629062100,1042375900
All crops,,2017,1680791600,1050846400
All crops,,2018,1648090600,1045162240
All crops,,2019,1686896400,1039282900
All crops,,2020,1708240100,1059232060
All crops,,2021,1749406000,1073344260
All crops,,2022,1760212600,1068675700
Cereals,,1961,0,648000700
Cereals,,1962,35900930,653851460
Cereals,,1963,42334016,659222200
Cereals,,1964,69639810,670246400
Cereals,,1965,70752830,667196540
Cereals,,1966,127188290,669693400
Cereals,,1967,150782140,679901630
Cereals,,1968,173527870,684201300
Cereals,,1969,180076930,685264600
Cereals,,1970,205799680,675450430
Cereals,,1971,273584900,686855360
Cereals,,1972,252745150,677256900
Cereals,,1973,303471230,699348160
Cereals,,1974,279391740,700913860
Cereals,,1975,293908800,710971500
Cereals,,1976,359167360,722499200
Cereals,,1977,357146700,719075800
Cereals,,1978,454090370,715004800
Cereals,,1979,429656900,706539970
Cereals,,1980,428181440,717186750
Cereals,,1981,479776130,726536450
Cereals,,1982,536405630,714362900
Cereals,,1983,497562700,704732860
Cereals,,1984,605446800,714975600
Cereals,,1985,625677500,720199600
Cereals,,1986,637982800,717339700
Cereals,,1987,611605900,697534700
Cereals,,1988,574381700,702316160
Cereals,,1989,671152800,711758600
Cereals,,1990,734860700,708070000
Cereals,,1991,693700700,705854300
Cereals,,1992,747591550,707639040
Cereals,,1993,710592640,694327400
Cereals,,1994,756676900,696839100
Cereals,,1995,712082240,683203140
Cereals,,1996,819496100,697930800
Cereals,,1997,850777200,701439000
Cereals,,1998,859686500,679791900
Cereals,,1999,867560100,670196030
Cereals,,2000,850692900,671424700
Cereals,,2001,883188200,672479360
Cereals,,2002,856294500,661644400
Cereals,,2003,862472960,670553500
Cereals,,2004,1012434940,676723600
Cereals,,2005,981418700,693827800
Cereals,,2006,984802700,681933800
Cereals,,2007,1038732860,695882700
Cereals,,2008,1150250200,712561150
Cereals,,2009,1139085300,699909400
Cereals,,2010,1125926400,694536000
Cereals,,2011,1203344600,707124400
Cereals,,2012,1182191900,707349600
Cereals,,2013,1319248800,722873100
Cereals,,2014,1359178100,723255940
Cereals,,2015,1374607100,722432100
Cereals,,2016,1426971100,727243600
Cereals,,2017,1464567600,728113700
Cereals,,2018,1431493100,722312000
Cereals,,2019,1472753900,717242800
Cereals,,2020,1487203600,732451500
Cereals,,2021,1529958900,739671550
Cereals,,2022,1529489500,731551360
Fruit,,1961,0,27208578
Fruit,,1962,1758992,27765080
Fruit,,1963,989806,28144480
Fruit,,1964,1886914,28704698
Fruit,,1965,2428404,28832300
Fruit,,1966,3262438,28813498
Fruit,,1967,4201978,29451150
Fruit,,1968,4603596,29945584
Fruit,,1969,5336116,29914992
Fruit,,1970,5075170,31174290
Fruit,,1971,5324072,31618956
Fruit,,1972,4439186,31964746
Fruit,,1973,6959672,32549664
Fruit,,1974,6643710,32972078
Fruit,,1975,7029278,33517634
Fruit,,1976,7591644,33973676
Fruit,,1977,6577752,34270388
Fruit,,1978,7780120,34618820
Fruit,,1979,10398868,34863520
Fruit,,1980,10692832,35431788
Fruit,,1981,9888484,35683650
Fruit,,1982,12585304,36265692
Fruit,,1983,12099552,36602156
Fruit,,1984,11642000,37189396
Fruit,,1985,9189036,40902916
Fruit,,1986,10681016,42101536
Fruit,,1987,10600008,42889396
Fruit,,1988,9559220,44045580
Fruit,,1989,10134732,44566844
Fruit,,1990,10574580,44218892
Fruit,,1991,9846908,44836692
Fruit,,1992,12419528,46465510
Fruit,,1993,13361832,46978132
Fruit,,1994,13095196,48058256
Fruit,,1995,14447144,49126570
Fruit,,1996,16649996,50348980
Fruit,,1997,19993036,50723980
Fruit,,1998,19401888,51356576
Fruit,,1999,23491160,52107510
Fruit,,2000,24467928,53423850
Fruit,,2001,25620276,53738476
Fruit,,2002,27373516,54460812
Fruit,,2003,28180984,55412850
Fruit,,2004,30548676,56253676
Fruit,,2005,31837576,57043870
Fruit,,2006,34144668,58112548
Fruit,,2007,34406720,58935496
Fruit,,2008,37422396,58293212
Fruit,,2009,38804920,59523944
Fruit,,2010,39594824,60778750
Fruit,,2011,42186150,61604610
Fruit,,2012,43291016,62106680
Fruit,,2013,46382988,63375900
Fruit,,2014,47869950,64248240
Fruit,,2015,49479570,64643720
Fruit,,2016,50481964,63688644
Fruit,,2017,52034080,63210310
Fruit,,2018,55100000,63416710
Fruit,,2019,55207924,65781980
Fruit,,2020,56376932,66898140
Fruit,,2021,58281510,67343320
Fruit,,2022,59549976,67487160
Pulses,,1961,0,64012140
Pulses,,1962,3180768,69162780
Pulses,,1963,-2709288,72830680
Pulses,,1964,583408,72879144
Pulses,,1965,2526344,68490590
Pulses,,1966,-1318392,65621116
Pulses,,1967,-3441172,66234796
Pulses,,1968,1812416,64507856
Pulses,,1969,1944700,63536764
Pulses,,1970,4466788,64384324
Pulses,,1971,3469296,63514050
Pulses,,1972,2824140,62474290
Pulses,,1973,3187792,63072804
Pulses,,1974,3231520,64337504
Pulses,,1975,296840,63038708
Pulses,,1976,6937068,63137220
Pulses,,1977,4415728,62240320
Pulses,,1978,7468520,61955650
Pulses,,1979,3421996,60898180
Pulses,,1980,2751196,61286344
Pulses,,1981,2788792,62561252
Pulses,,1982,7155184,64295736
Pulses,,1983,11012796,64016884
Pulses,,1984,11996736,66289010
Pulses,,1985,12557088,66667650
Pulses,,1986,13114456,68937440
Pulses,,1987,16528704,68335090
Pulses,,1988,18844728,68371176
Pulses,,1989,18444432,69041980
Pulses,,1990,24082272,68832740
Pulses,,1991,17425424,70756790
Pulses,,1992,14179992,68962390
Pulses,,1993,19366696,67906020
Pulses,,1994,19790208,69659360
Pulses,,1995,17963640,70733210
Pulses,,1996,15534000,69695130
Pulses,,1997,18255368,68941890
Pulses,,1998,18709024,69909224
Pulses,,1999,22603456,68217256
Pulses,,2000,21414216,66260304
Pulses,,2001,20791608,67686936
Pulses,,2002,19855120,71710300
Pulses,,2003,21162336,72253650
Pulses,,2004,23490080,70759016
Pulses,,2005,25164976,71478420
Pulses,,2006,22710032,73444480
Pulses,,2007,21590088,75827160
Pulses,,2008,25640040,73516090
Pulses,,2009,31745448,70031240
Pulses,,2010,33260072,79482340
Pulses,,2011,30746256,79401860
